,Winning_Team,number_wins,Game_Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Victory,Coaching,Affordability,Bang_for_Buck,Behavior
232,CHI,43,2012-09-23,CHI,LAR,23,23,1,26,6,19,56
233,CHI,43,2012-10-01,DAL,CHI,18,18,0,26,6,19,56
234,CHI,43,2012-10-07,JAX,CHI,3,3,0,26,6,19,56
235,CHI,43,2012-10-22,CHI,DET,13,13,1,26,6,19,56
236,CHI,43,2012-10-28,CHI,CAR,23,23,1,26,6,19,56
237,CHI,43,2012-11-04,TEN,CHI,20,20,0,26,6,19,56
238,CHI,43,2012-11-25,CHI,MIN,28,28,1,26,6,19,56
239,CHI,43,2012-12-23,ARI,CHI,13,13,0,26,6,19,56
240,CHI,43,2012-12-30,DET,CHI,24,24,0,26,6,19,56
241,CHI,43,2013-09-08,CHI,CIN,24,24,1,26,6,19,56
242,CHI,43,2013-09-15,CHI,MIN,31,31,1,26,6,19,56
243,CHI,43,2013-09-22,PIT,CHI,23,23,0,26,6,19,56
244,CHI,43,2013-10-10,CHI,NYG,27,27,1,26,6,19,56
245,CHI,43,2013-11-04,GB,CHI,20,20,0,26,6,19,56
246,CHI,43,2013-11-17,CHI,BAL,23,23,1,26,6,19,56
247,CHI,43,2013-12-09,CHI,DAL,45,45,1,26,6,19,56
248,CHI,43,2013-12-15,CLE,CHI,31,31,0,26,6,19,56
249,CHI,43,2014-09-14,SF,CHI,20,20,0,26,6,19,56
250,CHI,43,2014-09-22,NYJ,CHI,19,19,0,26,6,19,56
251,CHI,43,2014-10-12,ATL,CHI,13,13,0,26,6,19,56
252,CHI,43,2014-11-16,CHI,MIN,21,21,1,26,6,19,56
253,CHI,43,2014-11-23,CHI,TB,21,21,1,26,6,19,56
254,CIN,44,2010-09-19,CIN,BAL,15,15,1,13,58,87,29
255,CIN,44,2010-09-26,CAR,CIN,7,7,0,13,58,87,29
256,CIN,44,2010-12-19,CIN,CLE,19,19,1,13,58,87,29
257,CIN,44,2010-12-26,CIN,LAC,34,34,1,13,58,87,29
258,CIN,44,2011-09-11,CLE,CIN,17,17,0,13,58,87,29
259,CIN,44,2011-10-02,CIN,BUF,23,23,1,13,58,87,29
260,CIN,44,2011-10-09,JAX,CIN,20,20,0,13,58,87,29
261,CIN,44,2011-10-16,CIN,IND,27,27,1,13,58,87,29
262,CIN,44,2011-10-30,SEA,CIN,12,12,0,13,58,87,29
263,CIN,44,2011-11-06,TEN,CIN,17,17,0,13,58,87,29
264,CIN,44,2011-11-27,CIN,CLE,23,23,1,13,58,87,29
265,CIN,44,2011-12-18,LAR,CIN,13,13,0,13,58,87,29
266,CIN,44,2011-12-24,CIN,ARI,23,23,1,13,58,87,29
267,CIN,44,2012-09-16,CIN,CLE,34,34,1,13,58,87,29
268,CIN,44,2012-09-23,WSH,CIN,31,31,0,13,58,87,29
269,CIN,44,2012-09-30,JAX,CIN,10,10,0,13,58,87,29
270,CIN,44,2012-11-11,CIN,NYG,31,31,1,13,58,87,29
271,CIN,44,2012-11-18,KC,CIN,6,6,0,13,58,87,29
272,CIN,44,2012-11-25,CIN,OAK,34,34,1,13,58,87,29
273,CIN,44,2012-12-02,LAC,CIN,13,13,0,13,58,87,29
274,CIN,44,2012-12-13,PHI,CIN,13,13,0,13,58,87,29
275,CIN,44,2012-12-23,PIT,CIN,10,10,0,13,58,87,29
276,CIN,44,2012-12-30,CIN,BAL,23,23,1,13,58,87,29
277,CIN,44,2013-09-16,CIN,PIT,20,20,1,13,58,87,29
278,CIN,44,2013-09-22,CIN,GB,34,34,1,13,58,87,29
279,CIN,44,2013-10-06,CIN,NE,13,13,1,13,58,87,29
280,CIN,44,2013-10-13,BUF,CIN,24,24,0,13,58,87,29
281,CIN,44,2013-10-20,DET,CIN,24,24,0,13,58,87,29
282,CIN,44,2013-10-27,CIN,NYJ,49,49,1,13,58,87,29
283,CIN,44,2013-11-17,CIN,CLE,41,41,1,13,58,87,29
284,CIN,44,2013-12-01,LAC,CIN,10,10,0,13,58,87,29
285,CIN,44,2013-12-08,CIN,IND,42,42,1,13,58,87,29
286,CIN,44,2013-12-22,CIN,MIN,42,42,1,13,58,87,29
287,CIN,44,2013-12-29,CIN,BAL,34,34,1,13,58,87,29
288,CIN,44,2014-09-07,BAL,CIN,16,16,0,13,58,87,29
289,CIN,44,2014-09-14,CIN,ATL,24,24,1,13,58,87,29
290,CIN,44,2014-09-21,CIN,TEN,33,33,1,13,58,87,29
291,CIN,44,2014-10-26,CIN,BAL,27,27,1,13,58,87,29
292,CIN,44,2014-11-02,CIN,JAX,33,33,1,13,58,87,29
293,CIN,44,2014-11-16,NO,CIN,10,10,0,13,58,87,29
294,CIN,44,2014-11-23,HOU,CIN,13,13,0,13,58,87,29
295,CIN,44,2014-11-30,TB,CIN,13,13,0,13,58,87,29
296,CIN,44,2014-12-14,CLE,CIN,0,0,0,13,58,87,29
297,CIN,44,2014-12-22,CIN,DEN,37,37,1,13,58,87,29
298,CLE,25,2010-10-03,CLE,CIN,23,23,1,16,42,32,16
299,CLE,25,2010-10-24,NO,CLE,17,17,0,16,42,32,16
300,CLE,25,2010-11-07,CLE,NE,34,34,1,16,42,32,16
301,CLE,25,2010-11-28,CLE,CAR,24,24,1,16,42,32,16
302,CLE,25,2010-12-05,MIA,CLE,10,10,0,16,42,32,16
303,CLE,25,2011-09-18,IND,CLE,19,19,0,16,42,32,16
304,CLE,25,2011-09-25,CLE,MIA,17,17,1,16,42,32,16
305,CLE,25,2011-10-23,CLE,SEA,6,6,1,16,42,32,16
306,CLE,25,2011-11-20,CLE,JAX,14,14,1,16,42,32,16
307,CLE,25,2012-10-14,CLE,CIN,34,34,1,16,42,32,16
308,CLE,25,2012-10-28,CLE,LAC,7,7,1,16,42,32,16
309,CLE,25,2012-11-25,CLE,PIT,20,20,1,16,42,32,16
310,CLE,25,2012-12-02,OAK,CLE,17,17,0,16,42,32,16
311,CLE,25,2012-12-09,CLE,KC,30,30,1,16,42,32,16
312,CLE,25,2013-09-22,MIN,CLE,27,27,0,16,42,32,16
313,CLE,25,2013-09-29,CLE,CIN,17,17,1,16,42,32,16
314,CLE,25,2013-10-03,CLE,BUF,37,37,1,16,42,32,16
315,CLE,25,2013-11-03,CLE,BAL,24,24,1,16,42,32,16
316,CLE,25,2014-09-14,CLE,NO,26,26,1,16,42,32,16
317,CLE,25,2014-10-05,TEN,CLE,28,28,0,16,42,32,16
318,CLE,25,2014-10-12,CLE,PIT,31,31,1,16,42,32,16
319,CLE,25,2014-10-26,CLE,OAK,23,23,1,16,42,32,16
320,CLE,25,2014-11-02,CLE,TB,22,22,1,16,42,32,16
321,CLE,25,2014-11-06,CIN,CLE,3,3,0,16,42,32,16
322,CLE,25,2014-11-23,ATL,CLE,24,24,0,16,42,32,16
323,DAL,43,2010-09-26,HOU,DAL,13,13,0,42,16,77,29
324,DAL,43,2010-11-14,NYG,DAL,20,20,0,42,16,77,29
325,DAL,43,2010-11-21,DAL,DET,35,35,1,42,16,77,29
326,DAL,43,2010-12-05,IND,DAL,35,35,0,42,16,77,29
327,DAL,43,2010-12-19,DAL,WSH,33,33,1,42,16,77,29
328,DAL,43,2011-01-02,PHI,DAL,13,13,0,42,16,77,29
329,DAL,43,2011-09-18,SF,DAL,24,24,0,42,16,77,29
330,DAL,43,2011-09-26,DAL,WSH,18,18,1,42,16,77,29
331,DAL,43,2011-10-23,DAL,LAR,34,34,1,42,16,77,29
332,DAL,43,2011-11-06,DAL,SEA,23,23,1,42,16,77,29
333,DAL,43,2011-11-13,DAL,BUF,44,44,1,42,16,77,29
334,DAL,43,2011-11-20,WSH,DAL,24,24,0,42,16,77,29
335,DAL,43,2011-11-24,DAL,MIA,20,20,1,42,16,77,29
336,DAL,43,2011-12-17,TB,DAL,15,15,0,42,16,77,29
337,DAL,43,2012-09-05,NYG,DAL,17,17,0,42,16,77,29
338,DAL,43,2012-09-23,DAL,TB,16,16,1,42,16,77,29
339,DAL,43,2012-10-21,CAR,DAL,14,14,0,42,16,77,29
340,DAL,43,2012-11-11,PHI,DAL,23,23,0,42,16,77,29
341,DAL,43,2012-11-18,DAL,CLE,23,23,1,42,16,77,29
342,DAL,43,2012-12-02,DAL,PHI,38,38,1,42,16,77,29
343,DAL,43,2012-12-09,CIN,DAL,19,19,0,42,16,77,29
344,DAL,43,2012-12-16,DAL,PIT,27,27,1,42,16,77,29
345,DAL,43,2013-09-08,DAL,NYG,36,36,1,42,16,77,29
346,DAL,43,2013-09-22,DAL,LAR,31,31,1,42,16,77,29
347,DAL,43,2013-10-13,DAL,WSH,31,31,1,42,16,77,29
348,DAL,43,2013-10-20,PHI,DAL,3,3,0,42,16,77,29
349,DAL,43,2013-11-03,DAL,MIN,27,27,1,42,16,77,29
350,DAL,43,2013-11-24,NYG,DAL,21,21,0,42,16,77,29
351,DAL,43,2013-11-28,DAL,OAK,31,31,1,42,16,77,29
352,DAL,43,2013-12-22,WSH,DAL,23,23,0,42,16,77,29
353,DAL,43,2014-09-14,TEN,DAL,10,10,0,42,16,77,29
354,DAL,43,2014-09-21,LAR,DAL,31,31,0,42,16,77,29
355,DAL,43,2014-09-28,DAL,NO,38,38,1,42,16,77,29
356,DAL,43,2014-10-05,DAL,HOU,20,20,1,42,16,77,29
357,DAL,43,2014-10-12,SEA,DAL,23,23,0,42,16,77,29
358,DAL,43,2014-10-19,DAL,NYG,31,31,1,42,16,77,29
359,DAL,43,2014-11-09,DAL,JAX,31,31,1,42,16,77,29
360,DAL,43,2014-11-23,NYG,DAL,28,28,0,42,16,77,29
361,DAL,43,2014-12-04,CHI,DAL,28,28,0,42,16,77,29
362,DAL,43,2014-12-14,PHI,DAL,27,27,0,42,16,77,29
363,DAL,43,2014-12-21,DAL,IND,42,42,1,42,16,77,29
